,TextID,Sentiment Scores,GPE Mentions
61,4933,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",Cleveland
62,4880,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",West Virginia
63,3512,"{'neg': 0.429, 'neu': 0.571, 'pos': 0.0, 'compound': -0.6705}",Nebraska
64,2546,"{'neg': 0.0, 'neu': 0.775, 'pos': 0.225, 'compound': 0.2584}",US
65,2596,"{'neg': 0.156, 'neu': 0.844, 'pos': 0.0, 'compound': -0.1695}",Paris
66,1475,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",Syria
67,2232,"{'neg': 0.427, 'neu': 0.573, 'pos': 0.0, 'compound': -0.7717}",Illinois
68,127,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",Iran
69,4979,"{'neg': 0.167, 'neu': 0.833, 'pos': 0.0, 'compound': -0.3818}",Kentucky
70,1700,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",Florida
71,4500,"{'neg': 0.51, 'neu': 0.49, 'pos': 0.0, 'compound': -0.8074}",Paris
72,2199,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",Rubio
73,4943,"{'neg': 0.0, 'neu': 0.725, 'pos': 0.275, 'compound': 0.5859}",Putin
74,2115,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",US
75,4597,"{'neg': 0.0, 'neu': 0.673, 'pos': 0.327, 'compound': 0.5267}",America
76,677,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",Iraq
77,3004,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",Iran
78,172,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",Israel
79,5202,"{'neg': 0.13, 'neu': 0.87, 'pos': 0.0, 'compound': -0.2732}",Raid
80,2802,"{'neg': 0.0, 'neu': 0.769, 'pos': 0.231, 'compound': 0.4019}",Afghanistan
81,1329,"{'neg': 0.268, 'neu': 0.732, 'pos': 0.0, 'compound': -0.296}",DC
82,4114,"{'neg': 0.0, 'neu': 0.726, 'pos': 0.274, 'compound': 0.5267}",Hungary
83,4354,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",US
84,3138,"{'neg': 0.171, 'neu': 0.44, 'pos': 0.389, 'compound': 0.6096}",Flint
85,421,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",Kasich
86,2850,"{'neg': 0.0, 'neu': 0.847, 'pos': 0.153, 'compound': 0.2023}",United States
87,51,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",Texas
88,186,"{'neg': 0.16, 'neu': 0.84, 'pos': 0.0, 'compound': -0.2263}",Yemen
89,3700,"{'neg': 0.0, 'neu': 0.732, 'pos': 0.268, 'compound': 0.296}",Chicago
90,5040,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",Iran
91,2305,"{'neg': 0.187, 'neu': 0.813, 'pos': 0.0, 'compound': -0.3182}",U.S.
92,2228,"{'neg': 0.339, 'neu': 0.661, 'pos': 0.0, 'compound': -0.4767}",California
93,3008,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",Cuba
